Time,Interval Start,Interval End,Location,Location Type,Market,SPP
2024-07-15 07:00:00-05:00,2024-07-15 07:00:00-05:00,2024-07-15 08:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,12.28
2024-07-15 08:00:00-05:00,2024-07-15 08:00:00-05:00,2024-07-15 09:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,10.65
2024-07-15 09:00:00-05:00,2024-07-15 09:00:00-05:00,2024-07-15 10:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,8.85
2024-07-15 10:00:00-05:00,2024-07-15 10:00:00-05:00,2024-07-15 11:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,13.43
2024-07-15 11:00:00-05:00,2024-07-15 11:00:00-05:00,2024-07-15 12:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,18.2
2024-07-15 12:00:00-05:00,2024-07-15 12:00:00-05:00,2024-07-15 13:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,24.11
2024-07-15 13:00:00-05:00,2024-07-15 13:00:00-05:00,2024-07-15 14:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,28.95
2024-07-15 14:00:00-05:00,2024-07-15 14:00:00-05:00,2024-07-15 15:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,31.82
2024-07-15 15:00:00-05:00,2024-07-15 15:00:00-05:00,2024-07-15 16:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,36.68
2024-07-15 16:00:00-05:00,2024-07-15 16:00:00-05:00,2024-07-15 17:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,40.2
2024-07-15 17:00:00-05:00,2024-07-15 17:00:00-05:00,2024-07-15 18:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,41.46
2024-07-15 18:00:00-05:00,2024-07-15 18:00:00-05:00,2024-07-15 19:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,37.03
2024-07-15 19:00:00-05:00,2024-07-15 19:00:00-05:00,2024-07-15 20:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,49.69
2024-07-15 20:00:00-05:00,2024-07-15 20:00:00-05:00,2024-07-15 21:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,41.09
2024-07-15 21:00:00-05:00,2024-07-15 21:00:00-05:00,2024-07-15 22:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,23.14
2024-07-15 22:00:00-05:00,2024-07-15 22:00:00-05:00,2024-07-15 23:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,18.88
2024-07-15 23:00:00-05:00,2024-07-15 23:00:00-05:00,2024-07-16 00:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,13.89
2024-07-16 00:00:00-05:00,2024-07-16 00:00:00-05:00,2024-07-16 01:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,12.72
2024-07-16 01:00:00-05:00,2024-07-16 01:00:00-05:00,2024-07-16 02:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,11.75
2024-07-16 02:00:00-05:00,2024-07-16 02:00:00-05:00,2024-07-16 03:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,11.31
2024-07-16 03:00:00-05:00,2024-07-16 03:00:00-05:00,2024-07-16 04:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,11.45
2024-07-16 04:00:00-05:00,2024-07-16 04:00:00-05:00,2024-07-16 05:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,11.94
2024-07-16 05:00:00-05:00,2024-07-16 05:00:00-05:00,2024-07-16 06:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,13.45
2024-07-16 06:00:00-05:00,2024-07-16 06:00:00-05:00,2024-07-16 07:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,14.99
2024-07-16 07:00:00-05:00,2024-07-16 07:00:00-05:00,2024-07-16 08:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,12.09
2024-07-16 08:00:00-05:00,2024-07-16 08:00:00-05:00,2024-07-16 09:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,10.62
2024-07-16 09:00:00-05:00,2024-07-16 09:00:00-05:00,2024-07-16 10:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,9.98
2024-07-16 10:00:00-05:00,2024-07-16 10:00:00-05:00,2024-07-16 11:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,14.82
2024-07-16 11:00:00-05:00,2024-07-16 11:00:00-05:00,2024-07-16 12:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,20.35
2024-07-16 12:00:00-05:00,2024-07-16 12:00:00-05:00,2024-07-16 13:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,28.08
2024-07-16 13:00:00-05:00,2024-07-16 13:00:00-05:00,2024-07-16 14:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,36.21
2024-07-16 14:00:00-05:00,2024-07-16 14:00:00-05:00,2024-07-16 15:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,41.29
2024-07-16 15:00:00-05:00,2024-07-16 15:00:00-05:00,2024-07-16 16:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,49.63
2024-07-16 16:00:00-05:00,2024-07-16 16:00:00-05:00,2024-07-16 17:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,54.58
2024-07-16 17:00:00-05:00,2024-07-16 17:00:00-05:00,2024-07-16 18:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,56.29
2024-07-16 18:00:00-05:00,2024-07-16 18:00:00-05:00,2024-07-16 19:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,58.29
2024-07-16 19:00:00-05:00,2024-07-16 19:00:00-05:00,2024-07-16 20:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,97.36
